Year,Category,Question,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Disease,Sex,Count,Population,Rate,CI.lower,CI.upper
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,Amebiasis,Female,108,18752748,0.576,0.472,0.695
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,Anaplasmosis and Ehrlichiosis,Female,3,18752748,0.016,0.003,0.047
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,Babesiosis,Female,3,18752748,0.016,0.003,0.047
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,"Botulism, Foodborne",Female,0,18752748,0.0,0.0,0.02
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,"Botulism, Other",Female,0,18752748,0.0,0.0,0.02
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,"Botulism, Wound",Female,1,18752748,0.005,0.0,0.03
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,Brucellosis,Female,12,18752748,0.064,0.033,0.112
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,Campylobacteriosis,Female,3060,18752748,16.318,15.745,16.906
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,Chlamydia,Female,106391,18752748,567.336,563.941,570.745
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,Cholera,Female,0,18752748,0.0,0.0,0.02
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,Ciguatera Fish Poisoning,Female,0,18752748,0.0,0.0,0.02
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,Coccidioidomycosis,Female,1468,18752748,7.828,7.433,8.239
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,Female,24,18752748,0.128,0.082,0.19
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,Cryptosporidiosis,Female,167,18752748,0.891,0.761,1.036
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,Cysticercosis or Taeniasis,Female,16,18752748,0.085,0.049,0.139
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,Dengue,Female,40,18752748,0.213,0.152,0.29
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,Diphtheria,Female,0,18752748,0.0,0.0,0.02
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,E. coli O157,Female,112,18752748,0.597,0.492,0.719
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,E. coli Other STEC (non-O157),Female,63,18752748,0.336,0.258,0.43
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,Early Syphilis,Female,201,18752748,1.072,0.929,1.231
2010,Health Status/Healthy Days,Mean days of activity limitation,2.6,2.4,2.8,10266.0,Giardiasis,Female,668,18752748,3.562,3.297,3.843
